,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
154,16*,24,16,1,0,100.00,7,not out,1,v West Indies,Port of Spain
155,DNB,-,-,-,-,-,-,-,2,v West Indies,Port of Spain
156,21,-,21,2,0,100.00,7,run out,1,v West Indies,Chennai
157,0*,-,0,0,0,-,7,not out,1,v West Indies,Visakhapatnam
158,39*,-,31,4,0,125.80,7,not out,2,v West Indies,Cuttack
159,25,-,32,2,1,78.12,7,caught,1,v Australia,Mumbai
160,20*,-,16,1,0,125.00,7,not out,1,v Australia,Rajkot
161,DNB,-,-,-,-,-,-,-,2,v Australia,Bengaluru
162,DNB,-,-,-,-,-,-,-,1,v New Zealand,Hamilton
163,55,130,73,2,1,75.34,7,caught,2,v New Zealand,Auckland
164,8*,12,7,1,0,114.28,7,not out,1,v New Zealand,Mount Maunganui
