,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
97,58,146,89,5,1,65.16,1,bowled,2,v Sri Lanka,Port of Spain
98,20,57,40,2,0,50.00,1,caught,2,v Zimbabwe,Harare
99,1,5,7,0,0,14.28,1,caught,1,v Zimbabwe,Harare
100,14,27,21,2,0,66.66,1,caught,2,v Zimbabwe,Harare
101,64*,123,90,5,1,71.11,2,not out,2,v Zimbabwe,Bulawayo
102,42,62,47,6,0,89.36,2,caught,2,v Australia,Pune
103,141*,195,123,17,4,114.63,1,not out,2,v Australia,Jaipur
104,11,33,22,2,0,50.00,1,caught,1,v Australia,Mohali
105,9*,19,13,1,0,69.23,1,not out,2,v Australia,Ranchi
106,79,119,89,7,3,88.76,1,caught,2,v Australia,Nagpur
107,209,222,158,12,16,132.27,1,caught,1,v Australia,Bengaluru
108,72,105,81,8,1,88.88,1,caught,2,v West Indies,Kochi
109,12,20,19,3,0,63.15,1,caught,1,v West Indies,Visakhapatnam
110,4,19,14,0,0,28.57,1,caught,2,v West Indies,Kanpur
111,18,69,43,2,0,41.86,1,run out,2,v South Africa,Johannesburg
112,19,34,26,2,0,73.07,1,caught,2,v South Africa,Durban
113,TDNB,-,-,-,-,-,-,-,-,v South Africa,Centurion
114,3,24,23,0,0,13.04,1,caught,2,v New Zealand,Napier
115,20,42,34,2,1,58.82,2,caught,2,v New Zealand,Hamilton
116,39,65,38,1,4,102.63,1,caught,2,v New Zealand,Auckland
117,79,131,94,6,4,84.04,1,caught,1,v New Zealand,Hamilton
118,4,20,13,0,0,30.76,1,caught,2,v New Zealand,Wellington
119,21,57,29,1,1,72.41,1,bowled,2,v Bangladesh,Fatullah
120,13,37,28,1,0,46.42,1,lbw,1,v Sri Lanka,Fatullah
121,56,86,58,7,2,96.55,1,caught,1,v Pakistan,Dhaka
122,18*,36,24,1,0,75.00,3,not out,2,v Afghanistan,Dhaka
123,52,126,87,4,1,59.77,1,caught,1,v England,Cardiff
124,264,225,173,33,9,152.60,2,caught,1,v Sri Lanka,Kolkata
125,9,18,12,2,0,75.00,2,bowled,2,v Sri Lanka,Ranchi
126,138,228,139,9,4,99.28,1,caught,1,v Australia,Melbourne
127,15,35,20,2,0,75.00,1,caught,1,v Pakistan,Adelaide
128,0,13,6,0,0,0.00,1,run out,1,v South Africa,Melbourne
129,57*,77,55,10,1,103.63,1,not out,2,v U.A.E.,Perth
130,7,30,18,1,0,38.88,1,caught,2,v West Indies,Perth
131,64,99,66,3,3,96.96,1,bowled,2,v Ireland,Hamilton
132,16,24,21,2,0,76.19,1,caught,2,v Zimbabwe,Auckland
133,137,223,126,14,3,108.73,1,bowled,1,v Bangladesh,Melbourne
134,34,83,48,1,2,70.83,1,bowled,2,v Australia,Sydney
135,63,100,68,4,1,92.64,1,caught,2,v Bangladesh,Dhaka
136,0,1,2,0,0,0.00,1,caught,1,v Bangladesh,Dhaka
137,29,34,29,2,1,100.00,1,caught,1,v Bangladesh,Dhaka
138,150,215,133,13,6,112.78,1,caught,2,v South Africa,Kanpur
139,3,6,10,0,0,30.00,1,bowled,1,v South Africa,Indore
140,65,95,74,7,2,87.83,1,caught,2,v South Africa,Rajkot
141,21,21,19,4,0,110.52,1,caught,1,v South Africa,Chennai
142,16,21,20,3,0,80.00,1,caught,2,v South Africa,Mumbai
143,171*,205,163,13,7,104.90,1,not out,1,v Australia,Perth
144,124,175,127,11,3,97.63,1,run out,1,v Australia,Brisbane
145,6,17,11,0,0,54.54,1,caught,1,v Australia,Melbourne
146,41,28,25,2,3,164.00,1,caught,2,v Australia,Canberra
147,99,142,108,9,1,91.66,1,caught,2,v Australia,Sydney
148,14,44,26,1,1,53.84,1,lbw,2,v New Zealand,Dharamsala
149,15,28,27,1,1,55.55,1,caught,2,v New Zealand,Delhi
150,13,35,21,2,0,61.90,1,lbw,2,v New Zealand,Mohali
151,11,15,19,2,0,57.89,2,caught,2,v New Zealand,Ranchi
152,70,107,65,5,3,107.69,2,caught,1,v New Zealand,Visakhapatnam
153,91,146,119,7,2,76.47,1,run out,1,v Pakistan,Birmingham
154,78,107,79,6,3,98.73,1,caught,1,v Sri Lanka,The Oval
155,12,23,20,1,1,60.00,1,caught,2,v South Africa,The Oval
156,123*,165,129,15,1,95.34,1,not out,2,v Bangladesh,Birmingham
157,0,4,3,0,0,0.00,1,lbw,2,v Pakistan,The Oval
158,4,-,13,0,0,30.76,1,run out,2,v Sri Lanka,Dambulla
159,54,-,45,5,3,120.00,1,lbw,2,v Sri Lanka,Pallekele
160,124*,-,145,16,2,85.51,1,not out,2,v Sri Lanka,Pallekele
161,104,-,88,11,3,118.18,1,caught,1,v Sri Lanka,Colombo (RPS)
162,16,-,20,1,0,80.00,1,caught,2,v Sri Lanka,Colombo (RPS)
163,28,81,44,3,0,63.63,2,caught,1,v Australia,Chennai
164,7,24,14,1,0,50.00,2,caught,1,v Australia,Kolkata
165,71,94,62,6,4,114.51,2,caught,2,v Australia,Indore
166,65,93,55,1,5,118.18,2,run out,2,v Australia,Bengaluru
167,125,165,109,11,5,114.67,2,caught,2,v Australia,Nagpur
168,20,27,18,0,2,111.11,1,bowled,1,v New Zealand,Mumbai
169,7,17,19,1,0,36.84,1,caught,2,v New Zealand,Pune
