,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground
0,4.0,0,37,1,9.25,2,1,v Afghanistan,Dubai (DSC)
1,10.0,1,48,1,4.80,1,2,v West Indies,Chennai
2,7.0,1,44,0,6.28,1,2,v West Indies,Visakhapatnam
