,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
86,1,6,5,0,0,20.00,3,caught,1,v Sri Lanka,Hambantota
87,38,80,65,2,0,58.46,3,caught,2,v Sri Lanka,Colombo (RPS)
88,128*,187,119,12,1,107.56,3,not out,2,v Sri Lanka,Colombo (RPS)
89,23,42,35,2,0,65.71,3,lbw,1,v Sri Lanka,Pallekele
90,0,9,5,0,0,0.00,3,bowled,1,v Pakistan,Chennai
91,6,12,9,1,0,66.66,3,caught,2,v Pakistan,Kolkata
92,7,25,17,1,0,41.17,3,caught,1,v Pakistan,Delhi
93,15,45,22,1,0,68.18,3,caught,2,v England,Rajkot
94,37,86,54,1,1,68.51,3,caught,1,v England,Kochi
95,77*,110,79,9,2,97.46,3,not out,2,v England,Ranchi
96,26,44,33,3,0,78.78,3,caught,2,v England,Mohali
97,0,1,1,0,0,0.00,3,caught,1,v England,Dharamsala
98,31,46,41,2,0,75.60,3,caught,1,v South Africa,Cardiff
99,22,18,18,4,0,122.22,3,bowled,2,v West Indies,The Oval
100,22*,36,27,3,0,81.48,3,not out,2,v Pakistan,Birmingham
101,58*,80,64,4,1,90.62,3,not out,2,v Sri Lanka,Cardiff
102,43,66,34,4,1,126.47,3,caught,1,v England,Birmingham
103,11,19,21,0,1,52.38,3,caught,1,v West Indies,Kingston
104,2,6,5,0,0,40.00,4,caught,2,v Sri Lanka,Kingston
105,102,120,83,13,2,122.89,3,caught,1,v West Indies,Port of Spain
106,31,62,52,4,0,59.61,3,lbw,1,v Sri Lanka,Port of Spain
107,2,8,5,0,0,40.00,3,caught,2,v Sri Lanka,Port of Spain
108,115,133,108,13,1,106.48,3,caught,2,v Zimbabwe,Harare
109,14,35,18,2,0,77.77,3,caught,1,v Zimbabwe,Harare
110,68*,128,88,5,1,77.27,3,not out,2,v Zimbabwe,Harare
111,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Bulawayo
112,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Bulawayo
113,61,121,85,6,0,71.76,3,lbw,2,v Australia,Pune
114,100*,82,52,8,7,192.30,3,not out,2,v Australia,Jaipur
115,68,121,73,9,0,93.15,3,caught,1,v Australia,Mohali
116,DNB,-,-,-,-,-,-,-,2,v Australia,Ranchi
117,115*,104,66,18,1,174.24,3,not out,2,v Australia,Nagpur
118,0,4,3,0,0,0.00,3,run out,1,v Australia,Bengaluru
119,86,120,84,9,2,102.38,3,caught,2,v West Indies,Kochi
120,99,159,100,9,0,99.00,3,caught,1,v West Indies,Visakhapatnam
121,19,19,18,3,0,105.55,3,caught,2,v West Indies,Kanpur
122,31,41,35,5,0,88.57,3,caught,2,v South Africa,Johannesburg
123,0,7,5,0,0,0.00,3,caught,2,v South Africa,Durban
124,TDNB,-,-,-,-,-,-,-,-,v South Africa,Centurion
125,123,179,111,11,2,110.81,3,caught,2,v New Zealand,Napier
126,78,88,65,7,2,120.00,3,caught,2,v New Zealand,Hamilton
127,6,27,20,1,0,30.00,3,caught,2,v New Zealand,Auckland
128,2,14,10,0,0,20.00,2,caught,1,v New Zealand,Hamilton
129,82,129,78,7,3,105.12,3,caught,2,v New Zealand,Wellington
130,136,157,122,16,2,111.47,3,bowled,2,v Bangladesh,Fatullah
131,48,66,51,4,1,94.11,3,bowled,1,v Sri Lanka,Fatullah
132,5,29,11,0,0,45.45,3,caught,1,v Pakistan,Dhaka
133,DNB,-,-,-,-,-,-,-,2,v Afghanistan,Dhaka
134,0,1,3,0,0,0.00,3,caught,1,v England,Cardiff
135,40,67,50,2,1,80.00,3,caught,2,v England,Nottingham
