,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground
84,10.0,0,68,2,6.80,3,1,v Australia,Nagpur
85,10.0,0,73,3,7.30,5,2,v Australia,Bengaluru
86,10.0,0,37,3,3.70,4,1,v West Indies,Kochi
87,10.0,1,44,1,4.40,6,2,v West Indies,Visakhapatnam
88,10.0,0,49,1,4.90,6,1,v West Indies,Kanpur
89,8.0,0,58,0,7.25,5,1,v South Africa,Johannesburg
90,10.0,0,49,1,4.90,7,1,v South Africa,Durban
91,6.0,0,32,0,5.33,5,1,v South Africa,Centurion
92,9.0,0,61,1,6.77,4,1,v New Zealand,Napier
93,8.0,0,46,1,5.75,4,1,v New Zealand,Hamilton
94,10.0,0,47,2,4.70,4,1,v New Zealand,Auckland
95,10.0,2,33,0,3.30,4,2,v New Zealand,Hamilton
96,9.0,0,54,0,6.00,5,1,v New Zealand,Wellington
97,10.0,0,37,0,3.70,5,1,v Bangladesh,Fatullah
98,10.0,1,30,3,3.00,5,2,v Sri Lanka,Fatullah
99,10.0,1,61,0,6.10,4,2,v Pakistan,Dhaka
100,10.0,1,30,4,3.00,4,1,v Afghanistan,Dhaka
101,7.0,0,28,4,4.00,5,2,v England,Cardiff
102,10.0,0,38,1,3.80,7,1,v England,Nottingham
103,10.0,0,40,2,4.00,5,1,v England,Birmingham
104,9.0,0,66,0,7.33,6,1,v England,Leeds
105,10.0,0,58,1,5.80,4,1,v West Indies,Kochi
106,9.0,0,44,3,4.88,4,2,v West Indies,Delhi
107,9.0,1,80,2,8.88,6,2,v West Indies,Dharamsala
108,10.0,0,64,1,6.40,5,1,v Sri Lanka,Ahmedabad
109,TDNB,-,-,-,-,-,-,v Australia,Sydney
110,9.5,0,62,0,6.30,5,2,v England,Perth
111,10.0,0,56,1,5.60,6,2,v Pakistan,Adelaide
112,8.2,0,37,1,4.44,4,2,v South Africa,Melbourne
113,5.0,0,23,2,4.60,5,1,v U.A.E.,Perth
114,8.2,0,27,2,3.24,5,1,v West Indies,Perth
115,7.0,0,45,1,6.42,4,1,v Ireland,Hamilton
116,10.0,0,71,0,7.10,5,1,v Zimbabwe,Auckland
117,8.0,0,42,2,5.25,6,2,v Bangladesh,Melbourne
118,10.0,0,56,0,5.60,5,1,v Australia,Sydney
119,8.0,0,48,1,6.00,6,1,v Bangladesh,Dhaka
120,7.0,0,28,0,4.00,4,2,v Bangladesh,Dhaka
121,9.0,0,61,0,6.77,5,2,v Australia,Perth
122,9.0,0,50,1,5.55,4,2,v Australia,Brisbane
123,10.0,0,49,2,4.90,6,2,v Australia,Melbourne
124,10.0,0,51,0,5.10,6,1,v Australia,Canberra
125,10.0,0,46,0,4.60,5,1,v Australia,Sydney
126,10.0,0,50,1,5.00,4,1,v England,Pune
127,10.0,0,45,1,4.50,3,2,v England,Cuttack
128,10.0,0,62,2,6.20,5,1,v England,Kolkata
129,8.0,0,43,2,5.37,5,2,v Pakistan,Birmingham
130,6.0,0,52,0,8.66,5,2,v Sri Lanka,The Oval
131,10.0,0,39,1,3.90,5,1,v South Africa,The Oval
132,10.0,0,48,1,4.80,5,1,v Bangladesh,Birmingham
133,8.0,0,67,0,8.37,5,1,v Pakistan,The Oval
134,10.0,0,48,0,4.80,3,1,v West Indies,North Sound
135,10.0,1,27,0,2.70,4,1,v West Indies,Kingston
136,10.0,0,29,4,2.90,4,1,v Bangladesh,Dubai (DSC)
137,9.0,0,50,0,5.55,5,1,v Pakistan,Dubai (DSC)
138,10.0,1,46,3,4.60,4,1,v Afghanistan,Dubai (DSC)
139,6.0,0,31,0,5.16,5,1,v Bangladesh,Dubai (DSC)
140,10.0,0,66,2,6.60,5,1,v West Indies,Guwahati
141,10.0,0,49,0,4.90,4,2,v West Indies,Visakhapatnam
142,10.0,1,39,1,3.90,4,2,v West Indies,Mumbai (BS)
143,9.5,1,34,4,3.45,4,1,v West Indies,Thiruvananthapuram
144,10.0,0,48,1,4.80,5,1,v Australia,Sydney
145,10.0,1,49,1,4.90,5,1,v Australia,Adelaide
146,9.0,0,53,0,5.88,5,1,v Australia,Melbourne
147,10.0,0,33,0,3.30,5,1,v Australia,Hyderabad (Deccan)
148,10.0,0,48,1,4.80,3,2,v Australia,Nagpur
149,10.0,0,64,0,6.40,3,1,v Australia,Ranchi
150,10.0,0,45,2,4.50,5,1,v Australia,Delhi
151,10.0,0,40,1,4.00,4,1,v Sri Lanka,Leeds
152,10.0,0,34,1,3.40,4,1,v New Zealand,Manchester
153,1.0,0,6,0,6.00,5,1,v West Indies,Providence
154,4.0,0,15,1,3.75,6,2,v West Indies,Port of Spain
155,5.0,0,26,1,5.20,6,1,v West Indies,Port of Spain
156,10.0,0,58,0,5.80,6,2,v West Indies,Chennai
157,10.0,0,74,2,7.40,4,2,v West Indies,Visakhapatnam
158,10.0,0,54,1,5.40,5,1,v West Indies,Cuttack
159,8.0,0,41,0,5.12,5,2,v Australia,Mumbai
160,10.0,0,58,2,5.80,4,2,v Australia,Rajkot
161,10.0,1,44,2,4.40,5,1,v Australia,Bengaluru
162,10.0,0,64,0,6.40,4,2,v New Zealand,Hamilton
163,10.0,0,35,1,3.50,5,1,v New Zealand,Auckland
164,10.0,0,45,1,4.50,5,2,v New Zealand,Mount Maunganui
