,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
135,41,81,46,2,1,89.13,5,run out,1,v West Indies,Kingston
136,95,201,130,6,2,73.07,5,bowled,1,v West Indies,Kingston
137,46*,50,34,2,1,135.29,3,not out,2,v West Indies,Gros Islet
138,TDNB,-,-,-,-,-,-,-,-,v West Indies,Gros Islet
139,35*,86,65,4,0,53.84,5,not out,2,v New Zealand,Colombo (RPS)
140,8,24,18,0,0,44.44,6,bowled,2,v Sri Lanka,Colombo (RPS)
141,56,82,62,3,0,90.32,3,caught,1,v Sri Lanka,Colombo (RPS)
142,3,8,9,0,0,33.33,5,lbw,2,v Pakistan,Centurion
143,TDNB,-,-,-,-,-,-,-,-,v Australia,Centurion
144,DNB,-,-,-,-,-,-,-,2,v West Indies,Johannesburg
145,34,75,46,4,0,73.91,5,caught,2,v Australia,Vadodara
146,124,141,107,9,3,115.88,5,caught,1,v Australia,Nagpur
147,71*,153,95,6,0,74.73,5,not out,2,v Australia,Delhi
148,26,58,46,2,0,56.52,5,caught,2,v Australia,Mohali
149,6,17,15,0,0,40.00,5,caught,2,v Australia,Hyderabad (Deccan)
150,24,97,77,1,0,31.16,5,lbw,1,v Australia,Guwahati
151,72,78,53,7,3,135.84,3,caught,1,v Sri Lanka,Rajkot
152,107,135,111,8,2,96.39,5,caught,1,v Sri Lanka,Nagpur
153,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Delhi
154,37,85,70,3,0,52.85,5,caught,1,v Sri Lanka,Dhaka
155,101*,167,107,9,0,94.39,5,not out,2,v Bangladesh,Dhaka
156,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Dhaka
157,32,53,35,3,0,91.42,5,caught,2,v Bangladesh,Dhaka
158,14,23,19,3,0,73.68,5,caught,1,v Sri Lanka,Dhaka
159,26,-,29,2,0,89.65,4,caught,1,v South Africa,Jaipur
160,68*,37,35,7,4,194.28,5,not out,1,v South Africa,Gwalior
161,9,-,7,0,1,128.57,5,caught,2,v South Africa,Ahmedabad
162,38*,63,45,3,1,84.44,5,not out,2,v Bangladesh,Dambulla
163,56,91,71,2,1,78.87,4,bowled,2,v Pakistan,Dambulla
