,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground
100,10.0,1,46,2,4.60,1,1,v New Zealand,Mount Maunganui
101,5.0,1,25,2,5.00,1,2,v New Zealand,Hamilton
102,7.1,0,38,1,5.30,1,2,v New Zealand,Wellington
103,9.0,0,67,1,7.44,1,2,v Australia,Mohali
104,10.0,0,48,3,4.80,1,1,v Australia,Delhi
105,10.0,0,44,2,4.40,1,1,v South Africa,Southampton
106,10.0,0,50,3,5.00,1,2,v Australia,The Oval
107,2.4,0,8,0,3.00,1,2,v Pakistan,Manchester
108,9.0,0,51,1,5.66,1,2,v Bangladesh,Birmingham
109,10.0,0,73,1,7.30,1,1,v Sri Lanka,Leeds
110,10.0,1,43,3,4.30,1,1,v New Zealand,Manchester
111,4.0,1,11,0,2.75,1,1,v West Indies,Providence
112,8.0,0,31,4,3.87,1,2,v West Indies,Port of Spain
113,5.0,1,48,0,9.60,1,1,v West Indies,Port of Spain
