,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
119,66,99,67,9,0,98.50,2,caught,1,v New Zealand,Mount Maunganui
120,28,32,27,6,0,103.70,2,caught,2,v New Zealand,Mount Maunganui
121,13,23,20,1,1,65.00,2,lbw,1,v New Zealand,Hamilton
122,6,24,13,1,0,46.15,2,caught,1,v New Zealand,Wellington
123,0,-,1,0,0,0.00,2,caught,2,v Australia,Hyderabad (Deccan)
124,21,-,29,4,0,72.41,2,lbw,1,v Australia,Nagpur
125,1,-,10,0,0,10.00,1,caught,2,v Australia,Ranchi
126,143,-,115,18,3,124.34,2,bowled,1,v Australia,Mohali
127,12,-,15,2,0,80.00,2,caught,2,v Australia,Delhi
128,8,23,12,1,0,66.66,1,caught,2,v South Africa,Southampton
129,117,163,109,16,0,107.33,2,caught,1,v Australia,The Oval
130,TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence
131,2,4,3,0,0,66.66,1,lbw,1,v West Indies,Port of Spain
132,36,53,36,5,0,100.00,2,caught,2,v West Indies,Port of Spain
133,74,-,91,9,1,81.31,2,caught,1,v Australia,Mumbai
134,96,-,90,13,1,106.66,2,caught,1,v Australia,Rajkot
135,DNB,-,-,-,-,-,-,-,2,v Australia,Bengaluru
