,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground
0,10.0,0,58,2,5.80,3,1,v West Indies,Cuttack
1,10.0,0,62,2,6.20,3,2,v Australia,Rajkot
2,10.0,0,65,1,6.50,3,1,v Australia,Bengaluru
3,10.0,0,48,0,4.80,3,1,v New Zealand,Auckland
4,8.0,0,68,0,8.50,2,2,v New Zealand,Mount Maunganui
